target,kernel,correlation_method,kernel_objective_spearman_correlation,kernel_objective_spearman_p_value,kernel_condition_number,kernel_log_abs_determinant,surrogate_normalized_mse_mean,surrogate_normalized_mse_std,surrogate_r2_mean,surrogate_r2_std,surrogate_nlpd_mean,surrogate_nlpd_std
target_len_5,noisy_hierarchical_tree_kernel,spearman,0.015440314416086016,0.27742909257587434,22412.564172984927,-720.6119041522988,1.0755903824199482,0.5445080812456321,-0.06868920019989813,0.04677092642849796,1.4567717888549372,0.2725265287332024
target_len_5,noisy_hierarchical_wl_kernel,spearman,0.015380653164668228,0.27929004769266,64163.049792872705,-743.5788077425217,1.0755903827605322,0.5445080850793856,-0.06868919893887622,0.04677092300684332,1.4567716346750532,0.272525544911045
target_len_5,noisy_hierarchical_damg_kernel,spearman,0.12646470588080674,4.213660654843535e-19,517.2767543361012,-464.09244109556545,0.8246870436465054,0.4624361621686218,0.20412326927663543,0.1051456121536874,1.3532794300638347,0.3700932617090402
target_len_5,noisy_combined_hierarchical_kernel,spearman,0.11273441215048988,1.792248972234078e-15,1097.1829853406073,-467.5121205147456,0.8228357335821752,0.4613337578421239,0.20561221640731495,0.10387641556785782,1.3515874055108719,0.36937209095020096
target_len_5,noisy_hybrid_kernel,spearman,0.1517828953506193,6.716515961116655e-27,634.4536537539954,-482.7412617945473,0.8192375349351982,0.4661034003633638,0.21034232705701678,0.10100787901205861,1.355660401045592,0.37503805428783077
target_len_5,noisy_hierarchical_damg_kernel_13,spearman,0.17791221676789729,1.749224944331579e-36,340.96845728913024,-488.4530317704716,0.8210894332049946,0.4603242816950405,0.20701964489513633,0.10274276151593835,1.3501483742389102,0.3687859624588325
target_len_5,tree_kernel_1,spearman,0.00785083175939276,0.580794903508217,15924.055157375069,-375.54497797329014,1.0959761535632118,0.6545405148830922,-0.0363525691961077,0.14605485170240257,31.08128005797562,16.560099787413186
target_len_5,tree_kernel_2,spearman,0.0009554513042494567,0.9464185079245474,26362.58420871197,-486.7043384072135,1.6025210895524107,0.7254363291740201,-0.7030174133805919,0.4570936735939315,80.94577362854969,31.540019516425428
target_len_5,tree_kernel_3,spearman,0.024526742316034834,0.08444946702509065,14214.990941538123,-433.3139112327705,1.520981881212106,0.6275234143206181,-0.6455856356105205,0.48600492334587175,41.63978606682131,20.049492366422793
target_len_5,wl_kernel_1,spearman,0.017428741577706613,0.22019713674486963,50507.47187531967,-369.02954103990805,1.5300361448027147,0.6501825235323165,-0.6636290212238631,0.4798253174757106,46.23523470684727,21.171314096056697
target_len_5,wl_kernel_2,spearman,0.0014031477354346602,0.9213801926714312,9483237.497911971,-589.4839543864326,2.097387821379122,0.7122719689685866,-1.4108797022781059,0.9517553470661938,271.1298296789273,85.86251065335402
target_len_5,wl_kernel_3,spearman,0.0207076252424223,0.14519953850581607,5957444.8186308835,-670.429707156883,2.221714418656619,0.5860371444227751,-1.8146510057637222,1.7059906545019865,237.50851824016314,86.65241430286717
target_len_5,damg_kernel_1,spearman,0.340144529236828,2.581717129424139e-134,93.90255688304073,-48.42231745178854,0.8211778655185047,0.45315868099105755,0.20385309341436927,0.09843258182451164,1.3758859778983545,0.4587389376041464
target_len_5,damg_kernel_2,spearman,0.023731552444537618,0.09502305671035219,11069.06904553545,-inf,3.3730448568257856,2.1523456396569407,-2.2913446297843287,0.905277533469426,624.1429339418536,362.919970368992
target_len_5,damg_kernel_3,spearman,-0.011782752882400094,0.40721218332236564,7324973578083892.0,-inf,1.614753081019061,0.7168043430025562,-0.7096978419956889,0.4460268384075245,2670.460364317813,1366.2174397280387
target_len_5,operator_histogram_kernel,spearman,-0.009844352127932807,0.4886526278445251,12405317569.829676,-inf,1.1592664053476596,0.5896291476660898,-0.13764695529162893,0.08648285116926305,73.94644677462286,59.45478306060633
target_len_5_refined_1,noisy_hierarchical_tree_kernel,spearman,0.015690110804484198,0.26972924799250875,14624.072093361952,-717.9142597077538,1.4825833989742208,1.6788477263559516,-0.6541829288977674,1.0672880906537925,1.7361465486555698,0.9225354106180104
target_len_5_refined_1,noisy_hierarchical_wl_kernel,spearman,0.014908023697287357,0.29433195398455275,70245.81283891416,-745.7999292439179,1.5057155861429894,1.6934209178869006,-0.6621990326360804,1.0603808393108338,1.6772701456038803,0.8675022754256472
target_len_5_refined_1,noisy_hierarchical_damg_kernel,spearman,0.16439200255235892,2.509440137936687e-31,591.8991148399895,-469.994122459429,1.4683664451747085,1.7526220163585673,-0.13881466282618612,0.19266280892151516,1.7030093883107482,0.9616365059886686
target_len_5_refined_1,noisy_combined_hierarchical_kernel,spearman,0.14695148298843766,2.6736337361905106e-25,1203.5440596808412,-470.6661530662273,1.5115542958336876,1.7121919112368882,-0.6624163978637672,1.0604592441233727,1.728224792884103,0.95361983744022
