target,kernel,correlation_method,kernel_objective_spearman_correlation,kernel_objective_spearman_p_value,kernel_condition_number,kernel_log_abs_determinant,surrogate_normalized_mse_mean,surrogate_normalized_mse_std,surrogate_r2_mean,surrogate_r2_std,surrogate_nlpd_mean,surrogate_nlpd_std
target_len_5,noisy_hierarchical_tree_kernel,spearman,0.05319104078678729,0.00018109435027699317,17678.703642686163,-715.9239818957034,1.323623997365396,1.3596277680187987,-0.0963179217718289,0.14887363000279485,1.5809127641761134,0.6804943638648805
target_len_5,noisy_hierarchical_wl_kernel,spearman,0.05278999543288595,0.00020259518847226478,70173.90648129524,-742.449634133686,1.2864465598119532,1.3108509425397314,-0.08450835495305893,0.15806057949869656,1.599350459143642,0.7057884269616772
target_len_5,noisy_hierarchical_damg_kernel,spearman,0.04913411072621665,0.0005439859564516519,604.6831551079255,-469.5406555971932,1.5956879076355475,1.5524576575093145,-0.6988468024385198,0.717306121432068,1.6024450716010659,0.758966201300435
target_len_5,noisy_combined_hierarchical_kernel,spearman,0.10758909026333043,3.206713091179232e-14,1177.096114146067,-470.06061798715086,1.2596766192047686,1.280696242620055,-0.07464390964243575,0.16252137770470113,1.5986593760255126,0.7019258781459626
target_len_5,noisy_hybrid_kernel,spearman,0.19378186236804643,4.377287383598171e-43,684.8702605634353,-485.48880801670776,1.1470510160818082,1.1839096503813824,-0.12479390292584717,0.6104193520944103,1.9404916123572094,1.3860708809466886
target_len_5,noisy_hierarchical_damg_kernel_13,spearman,0.12098605537677654,1.326453983815302e-17,380.19393897304883,-492.01005812999153,1.2804293339656754,1.308776036882369,-0.08123663539776442,0.15766419698525422,1.591791369110241,0.6928462644488955
target_len_5,tree_kernel_1,spearman,0.08638604888201368,1.145838387517907e-09,14707.96487270084,-366.63058399724775,1.3018729349572087,0.9762600851407202,-1.1056508958339635,1.3713051631216526,33.6663372553859,26.369757158398645
target_len_5,tree_kernel_2,spearman,0.07225229374449774,3.6039867676384e-07,26215.555771309013,-inf,1.7574950454759073,1.507128626447458,-1.4128892236354436,1.5374835597125784,92.75894723150613,75.24491775266026
target_len_5,tree_kernel_3,spearman,0.01793595772088032,0.20706062183667173,18113.724899483706,-inf,1.6248123337965474,1.502334620109868,-1.089627208666571,1.52115142612719,64.15027836018854,51.238973591437926
target_len_5,wl_kernel_1,spearman,0.0986646995432665,3.478336190918575e-12,47015.04586157984,-362.69802901838443,1.6305027514566586,1.1114898255516927,-2.207472781392314,2.4079917443285295,47.261278258346756,31.683532407033496
target_len_5,wl_kernel_2,spearman,0.06480898342426734,5.034082972105032e-06,1828125366.8191743,-inf,1.8175079065791184,1.5220097298882709,-1.6774602943419534,1.7335800871435108,211.83147212473713,177.2221941978441
target_len_5,wl_kernel_3,spearman,0.010765629054232735,0.4488942340933505,2201484.8473975654,-inf,2.1594510238516924,1.7387563985292072,-2.373475227356171,1.9883593171472276,258.4453262178148,223.11343917320644
target_len_5,damg_kernel_1,spearman,0.3461630210012239,2.3652339406476903e-139,103.61784460095625,-48.617419258393724,1.3553306659426179,1.1753444161985591,-0.6767062025860042,0.8242953860472921,2.0142679844057643,1.2570987525185313
target_len_5,damg_kernel_2,spearman,-0.061000409475781,1.749495031617665e-05,4148982531790537.0,-inf,1.898684556771536,1.9855491752064092,-0.6621927512462119,0.3298017518584294,184.6666228415816,111.9167777367554
target_len_5,damg_kernel_3,spearman,-0.07033054912038258,7.30490620246154e-07,7291547612750834.0,-inf,1.3820550596892887,1.3850615058733842,-0.27244852808866804,0.32191837101235743,7041.505447385473,8518.253109866948
