target,kernel,correlation_method,kernel_objective_spearman_correlation,kernel_objective_spearman_p_value,kernel_condition_number,kernel_log_abs_determinant,surrogate_normalized_mse_mean,surrogate_normalized_mse_std,surrogate_r2_mean,surrogate_r2_std,surrogate_nlpd_mean,surrogate_nlpd_std
target_len_5,noisy_hierarchical_tree_kernel,spearman,0.038589678061161,0.006620572505922527,21936.800884464825,-721.3747180827213,1.8046442529349656,2.3151580256545667,-0.9631011839912855,1.0298070421517274,1.888087421781248,1.2592591171390524
target_len_5,noisy_hierarchical_wl_kernel,spearman,0.04110711997651295,0.003820256472081061,92184.93295770072,-746.9102867743328,1.8482092380581754,2.3472442229619843,-0.7571707731243441,1.0133651317078487,2.084131260759883,1.3888611180927652
target_len_5,noisy_hierarchical_damg_kernel,spearman,0.12498795434192704,1.0839840024094347e-18,615.8931645524941,-470.3872456492963,1.697195682746002,2.380046763859038,-0.15809104449642414,0.26242788641469134,1.7663559945478486,1.2278044932112202
target_len_5,noisy_combined_hierarchical_kernel,spearman,0.14636495905448205,4.146818672588613e-25,1239.3495036062611,-470.4073208518867,1.7912178225979845,2.361793803560594,-0.5454984474226903,0.91299963185337,1.9748128305865145,1.3091844935567039
target_len_5,noisy_hybrid_kernel,spearman,0.206880590040551,5.47231399226509e-49,685.2881766300856,-485.7592315910764,1.5562065495937507,1.861523001890112,-0.8675743180766832,1.3776748228999167,1.944614771006292,1.4508053569757273
target_len_5,noisy_hierarchical_damg_kernel_13,spearman,0.19675637849989006,2.1728742817817894e-44,379.594617810805,-491.8373383172065,1.6860978406294067,2.387404270894199,-0.058390952751637214,0.27383181180209676,1.764281631961549,1.2293139418469565
target_len_5,tree_kernel_1,spearman,0.06532014999801113,4.236452998025289e-06,14148.950247099508,-373.01143744727233,1.278783246381185,1.3307691455384554,-0.8735272259906474,1.2896302719965556,28.156437290893315,24.625097630768725
target_len_5,tree_kernel_2,spearman,0.0587104187033144,3.577998008538738e-05,26317.084709577906,-521.2990316051689,1.5759088857173036,1.8663518843026512,-0.9537732921772065,0.9322874252773486,58.16489181237936,51.27384852334516
target_len_5,tree_kernel_3,spearman,0.0034383524604079544,0.8088970467640351,21560.170738988778,-501.874798679458,1.6981370888533411,1.953766639543706,-1.1584326293678813,0.9332412976910821,47.186050676258,47.38019679211512
target_len_5,wl_kernel_1,spearman,0.07591490207369336,8.919936034076109e-08,60565.94984016431,-366.7759839661774,1.6194128951957758,1.3363540313434967,-2.3184917571040575,2.4959984722044237,46.718134448440615,32.56126053482472
